Exercise,Difficulty Level,Target Muscle Group,Prime Mover Muscle,Secondary Muscle,Tertiary Muscle,Primary Equipment,# Primary Items,Secondary Equipment,# Secondary Items,Posture,Single or Double Arm,Continuous or Alternating Arms,Grip,Load Position (Ending),Foot Elevation,Combination Exercises,Movement Pattern #1,Movement Pattern #2,Movement Pattern #3,Plane Of Motion #1,Plane Of Motion #2,Plane Of Motion #3,Body Region,Force Type,Mechanics,Laterality,Primary Exercise Classification
Bodyweight Bear Crawl,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Knee Hover Quadruped,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,,,,Sagittal Plane,,,Midsection,Other,Compound,Contralateral,Animal Flow
Stability Ball Knee Tuck,Novice,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Ring Hanging Leg Raise,Advanced,Abdominals,Rectus Abdominis,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Parallette L Sit,Advanced,Abdominals,Rectus Abdominis,,,Parallette Bars,2,None,0,L Sit,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Bodyweight Standing Walkout Plank,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Standing,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Calisthenics
Bodyweight Standing Walkout Push Up,Intermediate,Chest,Pectoralis Major,Rectus Abdominis,,Bodyweight,1,None,0,Prone,Double Arm,Alternating,Flat Palm,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Unsorted*
Barbell Climb,Expert,Abdominals,Rectus Abdominis,,,Barbell,1,None,0,Standing,Double Arm,Alternating,Neutral,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Bodyweight Ipsilateral Bird Dog,Expert,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Quadruped,Single Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Rotational,,,Sagittal Plane,,,Midsection,Other,Compound,Ipsilateral,Unsorted*
Bodyweight Copenhagen Plank Knee to Elbow,Advanced,Adductors,Adductor Magnus,,,Bodyweight,1,Bench (Flat),1,Side Plank,Single Arm,Continuous,Forearm,No Load,Foot Elevated (Side),Single Exercise,Anti-Lateral Flexion,,,Transverse Plane,,,Lower Body,Other,Compound,Unilateral,Unsorted*
Ring Dead Hang,Beginner,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Upper Body,Other,Compound,Bilateral,Calisthenics
Suspension Archer Row,Novice,Shoulders,Posterior Deltoids,,,Suspension Trainer,1,None,0,Standing,Double Arm,Alternating,Neutral,No Load,No Elevation,Single Exercise,Horizontal Pull,,,Frontal Plane,,,Upper Body,Pull,Compound,Unilateral,Unsorted*
Ring Eccentric Pull Up,Novice,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Pull Up,Intermediate,Back,Latissimus Dorsi,,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Pronated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Ring Eccentric Chin Up,Novice,Biceps,Biceps Brachii,Latissimus Dorsi,,Gymnastic Rings,2,None,0,Hanging,Double Arm,Continuous,Supinated,No Load,No Elevation,Single Exercise,Vertical Pull,,,Sagittal Plane,,,Upper Body,Pull,Compound,Bilateral,Calisthenics
Miniband Fire Hydrant,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,None,0,Quadruped,No Arms,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Medicine Ball Russian Twist,Novice,Abdominals,Obliques,Rectus Abdominis,,Medicine Ball,1,None,0,Seated Floor,Double Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Side Plank,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Cable Reverse Crunch,Intermediate,Abdominals,Rectus Abdominis,,,Cable,1,None,0,Supine,No Arms,Continuous,No Grip,Other,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Rope Half Kneeling High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Rope Half Kneeling Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Half Kneeling,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Overhead Lateral Lunge,Advanced,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Bottoms Up,Overhead,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Cable Rope Staggered Stance High to Low Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Cable Rope Staggered Stance Low to High Chop,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Cable,1,None,0,Staggered Stance,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Single Arm Dumbbell Windmill,Intermediate,Abdominals,Obliques,,,Dumbbell,1,None,0,Standing,Single Arm,Continuous,Neutral,Overhead,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Slider Double Kettlebell Bottoms Up Front Rack Lateral Lunge,Intermediate,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Bottoms Up,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Slider Double Kettlebell Front Rack Lateral Lunge,Novice,Adductors,Adductor Magnus,,,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Hip Adduction,,,Frontal Plane,,,Lower Body,Other,Compound,Unilateral,Bodybuilding
Bodyweight Feet On Wall Mountain Climber,Advanced,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Slider Double Kettlebell Suitcase Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Neutral,Suitcase,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Hollow Body Hold,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,Double Arm,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Dumbbell Crush Grip Hollow Body Hold,Intermediate,Abdominals,Rectus Abdominis,,,Dumbbell,1,None,0,Supine,Double Arm,Continuous,Crush Grip,Other,No Elevation,Single Exercise,Isometric Hold,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bar Inverted Hanging Crunch,Expert,Abdominals,Rectus Abdominis,,,Pull Up Bar,1,None,0,Inverted,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Inverted Hanging Oblique Crunch,Expert,Abdominals,Obliques,,,Bodyweight,1,None,0,Inverted,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Rotational,Spinal Flexion,,Transverse Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Double Kettlebell Front Rack Reverse Lunge,Novice,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Neutral,Front Rack,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Bodyweight Supine Alternating Single Leg Raise,Beginner,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Supine Leg Raise,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Miniband Bicycle Crunch,Novice,Abdominals,Obliques,Rectus Abdominis,,Miniband,1,None,0,Supine,No Arms,Alternating,Head Supported,No Load,No Elevation,Single Exercise,Rotational,,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Side Plank Reach Through,Novice,Abdominals,Obliques,Rectus Abdominis,,Bodyweight,1,None,0,Side Plank,Single Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Lateral Flexion,Spinal Rotational,,Transverse Plane,,,Midsection,Other,Compound,Unilateral,Calisthenics
Bodyweight Sit Up,Novice,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Bodyweight Butterfly Sit Up,Intermediate,Abdominals,Rectus Abdominis,,,Bodyweight,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Mountain Climber,Novice,Abdominals,Rectus Abdominis,,,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Slider Pike,Advanced,Abdominals,Rectus Abdominis,,,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Pike,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Feet Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Slider Wide Mountain Climber,Intermediate,Abdominals,Rectus Abdominis,,,Sliders,2,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,No Elevation,Single Exercise,Anti-Extension,Spinal Flexion,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Stability Ball Crunch,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,No Elevation,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Feet Elevated Oblique Crunch,Beginner,Abdominals,Obliques,,,Stability Ball,1,None,0,Supine,No Arms,Continuous,Head Supported,No Load,Feet Elevated,Single Exercise,Rotational,Spinal Flexion,,Sagittal Plane,,,Midsection,Other,Isolation,Bilateral,Unsorted*
Stability Ball Kneeling Rollout,Beginner,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Forearm,No Load,No Elevation,Single Exercise,Anti-Extension,,,Sagittal Plane,,,Midsection,Other,Compound,Bilateral,Unsorted*
Stability Ball Single Leg Knee Tuck,Advanced,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Foot Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Stability Ball Single Leg Pike,Expert,Abdominals,Rectus Abdominis,,,Stability Ball,1,None,0,Prone,Double Arm,Continuous,Flat Palm,No Load,Foot Elevated,Single Exercise,Spinal Flexion,,,Sagittal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Parallette Kneeling Push Up,Beginner,Chest,Pectoralis Major,,,Parallette Bars,2,None,1,Kneeling,Double Arm,Continuous,Neutral,No Load,No Elevation,Single Exercise,Horizontal Push,,,Sagittal Plane,,,Upper Body,Push,Compound,Bilateral,Calisthenics
Slider Double Kettlebell Overhead Reverse Lunge,Intermediate,Quadriceps,Quadriceps Femoris,Gluteus Maximus,Biceps Femoris,Sliders,1,Kettlebell,2,Standing,Double Arm,Continuous,Pronated,Overhead,No Elevation,Single Exercise,Knee Dominant,,,Sagittal Plane,,,Lower Body,Push,Compound,Unilateral,Bodybuilding
Double Dumbbell Romanian Deadlift,Beginner,Hamstrings,Biceps Femoris,Gluteus Maximus,,Dumbbell,2,None,0,Standing,Double Arm,Continuous,Pronated,Other,No Elevation,Single Exercise,Hip Hinge,,,Sagittal Plane,,,Lower Body,Pull,Compound,Bilateral,Bodybuilding
Single Arm Dumbbell Side Plank,Intermediate,Abdominals,Obliques,Rectus Abdominis,,Dumbbell,1,None,0,Side Plank,Single Arm,Continuous,Neutral,Other,No Elevation,Single Exercise,Anti-Lateral Flexion,,,Frontal Plane,,,Midsection,Other,Compound,Unilateral,Unsorted*
Bodyweight Single Leg Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Dumbbell Glute Bridge,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1,None,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Glute Bridge Isometric with Alternating Single Leg Extension,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Isometric Hold,Hip Extension,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
Miniband Side Lying Clamshell,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,Gluteus Minimus,Miniband,1,None,0,Side Lying,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip External Rotation,,,Transverse Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Miniband Ankle Side Lying Hip Abduction,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,None,0,Side Lying,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Frontal Plane,,,Lower Body,Other,Isolation,Unilateral,Bodybuilding
Miniband Bench Seated Hip Abduction,Beginner,Abductors,Gluteus Medius,Gluteus Minimus,Tensor Fasciae Latae,Miniband,1,Bench (Flat),1,Seated,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Abduction,,,Transverse Plane,,,Lower Body,Other,Isolation,Bilateral,Bodybuilding
Miniband Glute Bridge with Hip Abduction,Beginner,Glutes,Gluteus Maximus,Gluteus Medius,,Miniband,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,Hip Abduction,,Sagittal Plane,Transverse Plane,,Lower Body,Other,Compound,Bilateral,Bodybuilding
Stability Ball Hip Thrust,Beginner,Glutes,Gluteus Maximus,,,Stability Ball,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Stability Ball Dumbbell Hip Thrust,Beginner,Glutes,Gluteus Maximus,,,Stability Ball,1,Dumbbell,1,Bridge,Double Arm,Continuous,Neutral,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Bodybuilding
Bodyweight Frog Pump,Beginner,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Bridge,No Arms,Continuous,No Grip,No Load,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
Dumbbell Frog Pump,Beginner,Glutes,Gluteus Maximus,,,Dumbbell,1,None,0,Bridge,Double Arm,Continuous,Neutral,Hip Crease,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Bilateral,Unsorted*
Cable Glute Kickback,Novice,Glutes,Gluteus Maximus,,,Cable,1,None,0,Standing,No Arms,Continuous,Hand Assisted,Other,No Elevation,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Isolation,Unilateral,Bodybuilding
Bodyweight Single Leg Foot Elevated Glute Bridge,Novice,Glutes,Gluteus Maximus,,,Bodyweight,1,None,0,Single Leg Bridge,No Arms,Continuous,No Grip,No Load,Foot Elevated,Single Exercise,Hip Extension,,,Sagittal Plane,,,Lower Body,Unsorted*,Compound,Unilateral,Bodybuilding
